access_point,ap_radio_profile,floor_level,x_delta_from_insertion_point_m,y_delta_from_insertion_point_m,insertion_point_x_m,insertion_point_y_m,insertion_point_source,x_coordinate_m,y_coordinate_m,coordinate_reference,dxf_alignment_applied,dxf_alignment_method,dxf_export_offset_x_m,dxf_export_offset_y_m,dxf_alignment_rotation_deg,dxf_alignment_scale,dxf_source_path
AP-964,Wi-Fi 7 tri-band,05,92.47652513929643,-42.82658703328343,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),92.47652513929643,-42.82658703328343,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-965,Wi-Fi 7 tri-band,05,135.45506480621407,-177.90197559609078,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),135.45506480621407,-177.90197559609078,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-966,Wi-Fi 7 tri-band,05,86.33673666481627,-85.80512068257667,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),86.33673666481627,-85.80512068257667,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-967,Wi-Fi 7 tri-band,05,147.73463745700428,0.1519489084603265,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),147.73463745700428,0.1519489084603265,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-968,Wi-Fi 7 tri-band,05,221.41213009890635,-147.20301918243058,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),221.41213009890635,-147.20301918243058,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-969,Wi-Fi 7 tri-band,05,0.37966993934242055,-85.80512469424866,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),0.37966993934242055,-85.80512469424866,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-970,Wi-Fi 7 tri-band,05,147.73464146873448,-85.80511781707173,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),147.73464146873448,-85.80511781707173,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-971,Wi-Fi 7 tri-band,05,92.47652399312938,-18.26742511166958,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),92.47652399312938,-18.26742511166958,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-972,Wi-Fi 7 tri-band,05,166.15401950053638,-227.0202980064787,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),166.15401950053638,-227.0202980064787,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-973,Wi-Fi 7 tri-band,05,153.87443596083904,-171.76218425598927,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),153.87443596083904,-171.76218425598927,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-974,Wi-Fi 7 tri-band,05,92.47652685863432,-79.665329915646,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),92.47652685863432,-79.665329915646,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-975,Wi-Fi 7 tri-band,05,49.49799406895181,-91.94491288223071,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),49.49799406895181,-91.94491288223071,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-976,Wi-Fi 7 tri-band,05,24.938832433952484,-98.08470450888854,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),24.938832433952484,-98.08470450888854,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-977,Wi-Fi 7 tri-band,05,141.5948550000321,-171.7621848291019,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),141.5948550000321,-171.7621848291019,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-978,Wi-Fi 7 tri-band,05,67.91736579668941,-98.08470250305254,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),67.91736579668941,-98.08470250305254,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
